#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   5900      4.01e-01    2.48e-01      2.13e-04    1.26e-04      1.64e-02    1.01e-02    6.0e-04
   6000      4.47e-01    4.26e-01      3.08e-04    1.95e-04      1.83e-02    1.74e-02    6.0e-04
   6100      4.82e-01    3.81e-01      9.66e-04    9.07e-04      1.97e-02    1.55e-02    6.0e-04
   6200      5.00e-01    4.33e-01      8.41e-03    8.14e-03      2.04e-02    1.76e-02    6.0e-04
   6300      4.87e-01    4.03e-01      5.89e-03    5.86e-03      1.99e-02    1.64e-02    6.0e-04
   6400      4.65e-01    4.34e-01      2.56e-03    2.87e-03      1.90e-02    1.77e-02    6.0e-04
   6500      5.07e-01    4.85e-01      1.13e-02    1.10e-02      2.06e-02    1.97e-02    6.0e-04
   6600      4.73e-01    3.95e-01      5.25e-03    4.97e-03      1.93e-02    1.61e-02    6.0e-04
   6700      4.68e-01    3.89e-01      3.82e-03    3.81e-03      1.91e-02    1.59e-02    6.0e-04
   6800      5.33e-01    4.97e-01      1.15e-02    1.11e-02      2.16e-02    2.02e-02    6.0e-04
   6900      4.62e-01    4.11e-01      9.97e-04    1.17e-03      1.89e-02    1.68e-02    6.0e-04
   7000      4.17e-01    6.88e-01      1.60e-03    2.22e-03      1.70e-02    2.81e-02    6.0e-04
   7100      4.56e-01    3.78e-01      2.32e-02    2.30e-02      1.80e-02    1.47e-02    6.0e-04
   7200      4.69e-01    4.43e-01      1.08e-03    1.07e-03      1.91e-02    1.81e-02    6.0e-04
   7300      4.14e-01    4.04e-01      1.76e-03    1.43e-03      1.69e-02    1.65e-02    6.0e-04
   7400      4.69e-01    3.56e-01      3.24e-03    3.44e-03      1.92e-02    1.45e-02    6.0e-04
   7500      4.94e-01    5.29e-01      1.34e-02    1.28e-02      2.00e-02    2.14e-02    6.0e-04
   7600      4.29e-01    3.93e-01      5.89e-03    5.91e-03      1.75e-02    1.60e-02    6.0e-04
   7700      5.15e-01    4.46e-01      4.51e-03    4.20e-03      2.10e-02    1.82e-02    6.0e-04
   7800      5.48e-01    5.21e-01      3.41e-03    3.61e-03      2.24e-02    2.13e-02    6.0e-04
   7900      4.44e-01    4.88e-01      8.19e-03    7.94e-03      1.80e-02    1.99e-02    6.0e-04
   8000      4.10e-01    4.61e-01      8.31e-03    8.49e-03      1.66e-02    1.88e-02    6.0e-04
   8100      4.80e-01    4.80e-01      4.40e-03    4.67e-03      1.96e-02    1.96e-02    6.0e-04
   8200      4.53e-01    4.38e-01      6.23e-03    6.31e-03      1.85e-02    1.78e-02    6.0e-04
   8300      4.83e-01    4.20e-01      5.60e-03    5.34e-03      1.97e-02    1.71e-02    6.0e-04
   8400      4.13e-01    4.34e-01      1.39e-02    1.38e-02      1.66e-02    1.75e-02    6.0e-04
   8500      4.36e-01    5.06e-01      4.65e-03    4.19e-03      1.78e-02    2.06e-02    6.0e-04
   8600      4.50e-01    4.46e-01      2.91e-04    4.05e-04      1.84e-02    1.82e-02    6.0e-04
   8700      4.70e-01    4.20e-01      5.89e-03    4.80e-03      1.91e-02    1.71e-02    6.0e-04
   8800      4.54e-01    4.66e-01      1.08e-02    1.12e-02      1.84e-02    1.89e-02    6.0e-04
