#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  25900      1.42e-01    1.63e-01      6.49e-04    6.61e-04      1.61e-02    1.85e-02    7.7e-05
  26000      1.38e-01    1.40e-01      2.31e-03    1.72e-03      1.55e-02    1.58e-02    7.7e-05
  26100      1.36e-01    1.28e-01      2.07e-03    1.87e-03      1.53e-02    1.45e-02    7.7e-05
  26200      1.44e-01    1.38e-01      1.26e-03    1.03e-03      1.63e-02    1.56e-02    7.7e-05
  26300      1.38e-01    1.15e-01      1.00e-04    2.01e-04      1.56e-02    1.31e-02    7.7e-05
  26400      1.34e-01    1.17e-01      1.42e-03    1.45e-03      1.51e-02    1.32e-02    7.7e-05
  26500      1.46e-01    1.17e-01      9.06e-04    8.45e-04      1.65e-02    1.32e-02    7.7e-05
  26600      1.39e-01    1.07e-01      1.13e-04    1.30e-04      1.57e-02    1.21e-02    7.7e-05
  26700      1.42e-01    1.76e-01      2.25e-03    1.49e-03      1.60e-02    1.99e-02    7.7e-05
  26800      1.33e-01    1.76e-01      1.60e-03    1.09e-03      1.50e-02    1.99e-02    7.7e-05
  26900      1.46e-01    1.65e-01      2.42e-03    1.54e-03      1.64e-02    1.86e-02    7.7e-05
  27000      1.33e-01    1.50e-01      2.70e-03    3.19e-03      1.48e-02    1.67e-02    7.7e-05
  27100      1.43e-01    1.67e-01      2.67e-04    4.52e-05      1.62e-02    1.90e-02    7.7e-05
  27200      1.48e-01    1.28e-01      3.44e-04    4.02e-05      1.68e-02    1.45e-02    7.7e-05
  27300      1.41e-01    2.46e-01      4.68e-04    7.13e-05      1.60e-02    2.79e-02    7.7e-05
  27400      1.41e-01    1.25e-01      6.01e-04    5.22e-04      1.60e-02    1.41e-02    7.7e-05
  27500      1.38e-01    1.29e-01      3.33e-03    2.99e-03      1.53e-02    1.44e-02    7.7e-05
  27600      1.37e-01    1.15e-01      1.97e-03    1.78e-03      1.54e-02    1.30e-02    7.7e-05
  27700      1.41e-01    1.52e-01      2.15e-03    2.05e-03      1.59e-02    1.72e-02    7.7e-05
  27800      1.48e-01    1.35e-01      1.49e-03    1.09e-03      1.67e-02    1.53e-02    7.7e-05
  27900      1.42e-01    1.17e-01      2.74e-03    2.22e-03      1.60e-02    1.31e-02    7.7e-05
  28000      1.36e-01    1.84e-01      1.15e-03    6.65e-04      1.54e-02    2.08e-02    7.7e-05
  28100      1.52e-01    1.92e-01      4.07e-03    3.78e-03      1.68e-02    2.15e-02    7.7e-05
  28200      1.46e-01    1.17e-01      8.84e-04    6.58e-04      1.65e-02    1.33e-02    7.7e-05
  28300      1.27e-01    1.30e-01      2.96e-04    2.96e-04      1.43e-02    1.47e-02    7.7e-05
  28400      1.54e-01    1.48e-01      6.03e-04    2.36e-04      1.74e-02    1.67e-02    7.7e-05
  28500      1.38e-01    1.94e-01      6.15e-04    4.42e-04      1.56e-02    2.19e-02    7.7e-05
  28600      1.38e-01    1.74e-01      2.96e-03    2.12e-03      1.54e-02    1.96e-02    7.7e-05
  28700      1.37e-01    1.35e-01      3.22e-03    3.55e-03      1.53e-02    1.49e-02    7.7e-05
  28800      1.52e-01    1.25e-01      1.45e-03    1.36e-03      1.71e-02    1.42e-02    7.7e-05
  28900      1.53e-01    1.40e-01      4.04e-04    3.06e-04      1.73e-02    1.59e-02    7.7e-05
  29000      1.38e-01    1.00e-01      1.06e-03    1.26e-03      1.56e-02    1.13e-02    7.7e-05
  29100      1.52e-01    1.65e-01      4.26e-03    3.65e-03      1.68e-02    1.84e-02    7.7e-05
  29200      1.41e-01    1.52e-01      2.14e-04    3.22e-04      1.59e-02    1.72e-02    7.7e-05
  29300      1.29e-01    1.68e-01      8.22e-04    3.71e-04      1.45e-02    1.90e-02    7.7e-05
  29400      1.72e-01    1.24e-01      4.45e-04    3.71e-04      1.95e-02    1.40e-02    7.7e-05
  29500      1.44e-01    1.02e-01      1.41e-03    9.28e-04      1.63e-02    1.16e-02    7.7e-05
  29600      1.36e-01    1.15e-01      1.10e-03    1.13e-03      1.54e-02    1.30e-02    7.7e-05
  29700      1.43e-01    1.52e-01      1.49e-03    1.24e-03      1.61e-02    1.72e-02    7.7e-05
  29800      1.41e-01    1.54e-01      3.90e-04    8.73e-04      1.60e-02    1.74e-02    7.7e-05
  29900      1.33e-01    9.27e-02      4.06e-04    3.04e-04      1.51e-02    1.05e-02    7.7e-05
  30000      1.02e-01    1.07e-01      7.60e-04    6.97e-04      1.48e-02    1.56e-02    4.6e-05
  30100      1.03e-01    1.01e-01      2.60e-04    4.68e-04      1.50e-02    1.47e-02    4.6e-05
  30200      1.20e-01    1.25e-01      2.05e-04    5.28e-05      1.75e-02    1.82e-02    4.6e-05
  30300      1.20e-01    1.03e-01      9.36e-04    8.52e-04      1.74e-02    1.50e-02    4.6e-05
  30400      9.78e-02    1.03e-01      1.24e-03    1.60e-03      1.42e-02    1.50e-02    4.6e-05
  30500      1.15e-01    1.19e-01      1.75e-04    5.32e-05      1.67e-02    1.74e-02    4.6e-05
  30600      9.88e-02    8.81e-02      1.14e-03    1.16e-03      1.43e-02    1.28e-02    4.6e-05
  30700      1.06e-01    1.47e-01      1.74e-03    1.48e-03      1.53e-02    2.14e-02    4.6e-05
  30800      1.05e-01    9.11e-02      6.46e-04    1.54e-06      1.53e-02    1.33e-02    4.6e-05
  30900      9.49e-02    1.19e-01      4.26e-04    8.00e-04      1.38e-02    1.73e-02    4.6e-05
  31000      1.15e-01    1.75e-01      2.18e-03    1.44e-03      1.66e-02    2.54e-02    4.6e-05
  31100      1.13e-01    1.51e-01      1.37e-03    1.02e-03      1.64e-02    2.19e-02    4.6e-05
  31200      1.08e-01    1.09e-01      1.10e-03    1.00e-03      1.56e-02    1.58e-02    4.6e-05
  31300      1.09e-01    1.12e-01      5.95e-04    1.28e-04      1.59e-02    1.63e-02    4.6e-05
  31400      1.09e-01    9.61e-02      9.10e-04    9.06e-04      1.59e-02    1.40e-02    4.6e-05
  31500      1.06e-01    1.02e-01      1.23e-03    1.52e-03      1.54e-02    1.48e-02    4.6e-05
  31600      9.61e-02    4.09e-02      3.16e-04    1.12e-04      1.40e-02    5.96e-03    4.6e-05
  31700      1.06e-01    9.52e-02      1.21e-03    1.49e-03      1.53e-02    1.38e-02    4.6e-05
  31800      1.11e-01    9.02e-02      2.27e-03    2.11e-03      1.60e-02    1.29e-02    4.6e-05
  31900      1.09e-01    1.95e-01      1.57e-04    1.55e-04      1.58e-02    2.85e-02    4.6e-05
  32000      1.16e-01    9.09e-02      1.84e-03    1.67e-03      1.68e-02    1.31e-02    4.6e-05
  32100      1.10e-01    1.10e-01      1.91e-03    1.96e-03      1.58e-02    1.58e-02    4.6e-05
  32200      1.08e-01    8.54e-02      9.66e-04    1.22e-03      1.57e-02    1.24e-02    4.6e-05
  32300      1.20e-01    1.12e-01      4.55e-04    3.65e-04      1.75e-02    1.63e-02    4.6e-05
  32400      1.09e-01    1.01e-01      8.80e-04    6.06e-04      1.59e-02    1.47e-02    4.6e-05
  32500      1.09e-01    9.31e-02      4.55e-04    3.81e-04      1.58e-02    1.36e-02    4.6e-05
  32600      1.07e-01    1.03e-01      5.02e-04    1.30e-04      1.55e-02    1.50e-02    4.6e-05
  32700      1.14e-01    8.00e-02      5.69e-04    2.75e-04      1.66e-02    1.17e-02    4.6e-05
  32800      1.07e-01    8.80e-02      1.95e-03    2.26e-03      1.54e-02    1.26e-02    4.6e-05
  32900      1.18e-01    1.23e-01      4.60e-04    6.98e-04      1.73e-02    1.79e-02    4.6e-05
  33000      1.06e-01    9.77e-02      6.33e-04    6.20e-04      1.55e-02    1.42e-02    4.6e-05
  33100      1.19e-01    9.81e-02      1.98e-03    1.75e-03      1.71e-02    1.42e-02    4.6e-05
  33200      1.08e-01    9.43e-02      1.48e-03    1.53e-03      1.57e-02    1.36e-02    4.6e-05
  33300      1.13e-01    1.02e-01      2.71e-04    8.49e-05      1.65e-02    1.49e-02    4.6e-05
  33400      1.05e-01    1.12e-01      1.47e-03    1.23e-03      1.52e-02    1.63e-02    4.6e-05
  33500      1.15e-01    1.10e-01      6.13e-04    7.67e-04      1.68e-02    1.59e-02    4.6e-05
  33600      1.04e-01    1.24e-01      1.83e-03    2.01e-03      1.50e-02    1.79e-02    4.6e-05
  33700      1.00e-01    1.31e-01      1.23e-03    7.38e-04      1.46e-02    1.91e-02    4.6e-05
  33800      1.12e-01    8.77e-02      1.21e-03    1.31e-03      1.63e-02    1.27e-02    4.6e-05
  33900      1.05e-01    8.69e-02      1.82e-03    1.88e-03      1.52e-02    1.25e-02    4.6e-05
  34000      1.13e-01    2.15e-01      1.28e-03    7.19e-04      1.64e-02    3.14e-02    4.6e-05
  34100      1.19e-01    1.06e-01      5.20e-04    3.48e-04      1.73e-02    1.54e-02    4.6e-05
  34200      1.12e-01    1.14e-01      3.08e-03    2.38e-03      1.59e-02    1.63e-02    4.6e-05
  34300      1.08e-01    8.76e-02      1.44e-03    1.48e-03      1.57e-02    1.27e-02    4.6e-05
  34400      1.06e-01    9.91e-02      1.58e-03    1.20e-03      1.54e-02    1.44e-02    4.6e-05
  34500      1.06e-01    1.06e-01      9.65e-04    8.32e-04      1.55e-02    1.54e-02    4.6e-05
  34600      1.07e-01    1.08e-01      1.43e-03    8.37e-04      1.55e-02    1.57e-02    4.6e-05
  34700      1.17e-01    1.11e-01      2.37e-04    2.56e-04      1.71e-02    1.61e-02    4.6e-05
  34800      1.10e-01    1.32e-01      1.97e-03    1.53e-03      1.59e-02    1.91e-02    4.6e-05
  34900      1.04e-01    8.32e-02      2.21e-03    2.59e-03      1.49e-02    1.18e-02    4.6e-05
  35000      8.56e-02    7.30e-02      1.38e-03    1.07e-03      1.59e-02    1.36e-02    2.8e-05
  35100      8.09e-02    7.99e-02      4.00e-04    9.29e-04      1.51e-02    1.49e-02    2.8e-05
  35200      9.38e-02    8.42e-02      1.54e-03    1.22e-03      1.74e-02    1.57e-02    2.8e-05
  35300      8.04e-02    7.69e-02      1.31e-04    3.19e-04      1.50e-02    1.44e-02    2.8e-05
  35400      8.79e-02    1.09e-01      1.46e-03    1.49e-03      1.63e-02    2.02e-02    2.8e-05
  35500      9.10e-02    1.21e-01      1.18e-03    2.96e-04      1.69e-02    2.26e-02    2.8e-05
  35600      7.34e-02    7.05e-02      1.94e-04    2.08e-04      1.37e-02    1.32e-02    2.8e-05
  35700      8.03e-02    8.23e-02      2.54e-04    2.49e-05      1.50e-02    1.54e-02    2.8e-05
  35800      7.70e-02    1.09e-01      9.40e-04    1.03e-03      1.43e-02    2.02e-02    2.8e-05
  35900      8.21e-02    6.42e-02      8.08e-04    1.40e-03      1.53e-02    1.18e-02    2.8e-05
  36000      8.48e-02    6.18e-02      6.26e-04    5.34e-04      1.58e-02    1.15e-02    2.8e-05
  36100      8.32e-02    9.51e-02      3.81e-04    1.61e-04      1.56e-02    1.78e-02    2.8e-05
  36200      8.52e-02    7.85e-02      3.23e-04    3.44e-04      1.59e-02    1.47e-02    2.8e-05
  36300      9.44e-02    8.71e-02      1.35e-03    7.43e-04      1.75e-02    1.63e-02    2.8e-05
  36400      9.39e-02    1.15e-01      1.22e-03    1.14e-03      1.75e-02    2.14e-02    2.8e-05
  36500      8.49e-02    7.81e-02      1.86e-03    1.72e-03      1.56e-02    1.44e-02    2.8e-05
  36600      8.34e-02    8.88e-02      6.37e-04    4.21e-04      1.56e-02    1.66e-02    2.8e-05
  36700      9.10e-02    8.80e-02      7.50e-04    9.80e-05      1.70e-02    1.65e-02    2.8e-05
  36800      8.70e-02    4.84e-02      3.92e-04    2.15e-04      1.63e-02    9.06e-03    2.8e-05
  36900      8.86e-02    8.05e-02      1.20e-03    7.75e-04      1.65e-02    1.50e-02    2.8e-05
  37000      7.81e-02    7.54e-02      1.29e-04    1.81e-04      1.46e-02    1.41e-02    2.8e-05
  37100      8.05e-02    6.65e-02      1.48e-03    1.66e-03      1.49e-02    1.22e-02    2.8e-05
  37200      8.45e-02    8.09e-02      2.16e-04    1.66e-04      1.58e-02    1.51e-02    2.8e-05
  37300      8.08e-02    8.00e-02      3.05e-04    8.47e-05      1.51e-02    1.50e-02    2.8e-05
  37400      9.24e-02    8.68e-02      4.32e-04    3.43e-04      1.73e-02    1.62e-02    2.8e-05
  37500      7.91e-02    7.20e-02      1.28e-03    1.46e-03      1.47e-02    1.33e-02    2.8e-05
  37600      8.44e-02    1.26e-01      3.67e-04    1.21e-03      1.58e-02    2.36e-02    2.8e-05
  37700      7.69e-02    7.00e-02      4.04e-04    6.19e-04      1.44e-02    1.31e-02    2.8e-05
  37800      8.29e-02    9.45e-02      8.14e-04    5.59e-04      1.55e-02    1.77e-02    2.8e-05
  37900      8.43e-02    8.02e-02      1.45e-03    1.18e-03      1.56e-02    1.49e-02    2.8e-05
  38000      8.71e-02    8.44e-02      6.14e-04    2.14e-04      1.63e-02    1.58e-02    2.8e-05
  38100      9.18e-02    8.70e-02      1.88e-03    1.60e-03      1.70e-02    1.61e-02    2.8e-05
  38200      8.42e-02    1.11e-01      1.11e-03    7.39e-04      1.57e-02    2.07e-02    2.8e-05
  38300      8.48e-02    6.74e-02      5.98e-04    5.26e-04      1.58e-02    1.26e-02    2.8e-05
  38400      8.75e-02    8.65e-02      4.90e-04    5.56e-04      1.63e-02    1.62e-02    2.8e-05
  38500      8.24e-02    9.13e-02      7.10e-04    7.12e-04      1.54e-02    1.70e-02    2.8e-05
  38600      9.30e-02    1.11e-01      7.66e-05    4.04e-04      1.74e-02    2.08e-02    2.8e-05
  38700      8.08e-02    8.61e-02      5.45e-04    5.89e-04      1.51e-02    1.61e-02    2.8e-05
  38800      9.17e-02    1.15e-01      2.09e-03    1.62e-03      1.69e-02    2.14e-02    2.8e-05
  38900      8.75e-02    8.19e-02      2.11e-04    9.19e-05      1.64e-02    1.53e-02    2.8e-05
  39000      9.25e-02    8.14e-02      1.16e-03    8.75e-04      1.72e-02    1.52e-02    2.8e-05
  39100      7.62e-02    6.03e-02      8.22e-04    6.87e-04      1.42e-02    1.12e-02    2.8e-05
  39200      8.96e-02    8.49e-02      4.81e-04    5.23e-05      1.67e-02    1.59e-02    2.8e-05
  39300      9.43e-02    7.86e-02      6.15e-04    1.03e-03      1.76e-02    1.46e-02    2.8e-05
  39400      7.91e-02    9.98e-02      3.67e-04    8.32e-04      1.48e-02    1.86e-02    2.8e-05
  39500      8.22e-02    1.00e-01      1.13e-03    1.04e-03      1.53e-02    1.87e-02    2.8e-05
  39600      8.61e-02    7.84e-02      9.18e-04    7.64e-04      1.60e-02    1.46e-02    2.8e-05
  39700      8.62e-02    1.58e-01      2.00e-03    9.53e-04      1.59e-02    2.96e-02    2.8e-05
  39800      8.69e-02    8.28e-02      1.24e-03    1.30e-03      1.62e-02    1.54e-02    2.8e-05
  39900      8.96e-02    7.82e-02      2.55e-04    1.38e-04      1.68e-02    1.46e-02    2.8e-05
  40000      7.67e-02    1.45e-01      1.72e-03    1.11e-03      1.80e-02    3.45e-02    1.7e-05
  40100      6.85e-02    1.06e-01      1.60e-03    6.44e-04      1.61e-02    2.52e-02    1.7e-05
  40200      6.00e-02    7.26e-02      6.52e-04    8.50e-05      1.43e-02    1.73e-02    1.7e-05
  40300      7.08e-02    6.04e-02      6.15e-04    3.05e-04      1.68e-02    1.44e-02    1.7e-05
  40400      6.79e-02    6.05e-02      2.35e-04    1.83e-04      1.62e-02    1.45e-02    1.7e-05
  40500      6.53e-02    6.04e-02      1.15e-03    6.68e-04      1.54e-02    1.44e-02    1.7e-05
  40600      6.44e-02    7.13e-02      3.08e-04    1.42e-04      1.54e-02    1.70e-02    1.7e-05
  40700      6.22e-02    7.08e-02      7.35e-04    1.07e-03      1.48e-02    1.68e-02    1.7e-05
  40800      6.47e-02    5.07e-02      2.68e-04    3.46e-04      1.55e-02    1.21e-02    1.7e-05
  40900      7.07e-02    6.50e-02      4.97e-04    1.72e-04      1.69e-02    1.55e-02    1.7e-05
  41000      6.35e-02    5.53e-02      1.03e-03    1.14e-03      1.51e-02    1.30e-02    1.7e-05
  41100      6.65e-02    5.84e-02      1.21e-04    1.33e-04      1.59e-02    1.40e-02    1.7e-05
  41200      6.16e-02    8.73e-02      1.54e-04    6.26e-04      1.47e-02    2.08e-02    1.7e-05
  41300      6.58e-02    8.48e-02      2.86e-04    5.07e-04      1.57e-02    2.02e-02    1.7e-05
  41400      6.65e-02    6.98e-02      6.73e-04    2.35e-04      1.58e-02    1.67e-02    1.7e-05
  41500      7.31e-02    5.98e-02      3.08e-04    2.43e-04      1.75e-02    1.43e-02    1.7e-05
  41600      6.62e-02    4.72e-02      5.76e-04    4.86e-04      1.58e-02    1.12e-02    1.7e-05
  41700      6.73e-02    7.68e-02      5.66e-04    2.99e-04      1.60e-02    1.83e-02    1.7e-05
  41800      6.25e-02    6.93e-02      1.10e-03    9.38e-04      1.48e-02    1.65e-02    1.7e-05
  41900      6.09e-02    5.87e-02      1.13e-03    1.07e-03      1.44e-02    1.39e-02    1.7e-05
  42000      6.80e-02    1.44e-01      1.22e-03    1.47e-04      1.61e-02    3.43e-02    1.7e-05
  42100      6.37e-02    6.53e-02      5.52e-04    5.85e-05      1.52e-02    1.56e-02    1.7e-05
  42200      7.25e-02    6.01e-02      6.98e-04    3.43e-04      1.73e-02    1.43e-02    1.7e-05
  42300      6.96e-02    8.22e-02      1.42e-03    1.02e-03      1.64e-02    1.95e-02    1.7e-05
  42400      6.42e-02    5.52e-02      4.61e-04    7.43e-04      1.53e-02    1.31e-02    1.7e-05
  42500      6.48e-02    5.72e-02      1.42e-04    1.84e-04      1.55e-02    1.37e-02    1.7e-05
  42600      6.85e-02    8.39e-02      2.38e-04    2.12e-04      1.64e-02    2.00e-02    1.7e-05
  42700      6.64e-02    6.66e-02      1.88e-03    1.18e-03      1.54e-02    1.58e-02    1.7e-05
  42800      6.19e-02    6.43e-02      8.90e-05    4.68e-04      1.48e-02    1.53e-02    1.7e-05
  42900      6.20e-02    7.93e-02      4.00e-04    7.28e-04      1.48e-02    1.89e-02    1.7e-05
  43000      6.78e-02    6.06e-02      2.56e-04    3.29e-05      1.62e-02    1.45e-02    1.7e-05
  43100      6.31e-02    6.86e-02      1.81e-04    1.78e-04      1.51e-02    1.64e-02    1.7e-05
  43200      6.45e-02    4.64e-02      7.48e-04    1.07e-03      1.53e-02    1.09e-02    1.7e-05
  43300      6.66e-02    6.46e-02      1.53e-03    1.33e-03      1.56e-02    1.52e-02    1.7e-05
  43400      6.63e-02    7.25e-02      1.10e-03    8.20e-04      1.57e-02    1.73e-02    1.7e-05
  43500      6.89e-02    6.67e-02      1.74e-03    1.50e-03      1.61e-02    1.57e-02    1.7e-05
  43600      6.78e-02    6.69e-02      9.29e-04    9.70e-04      1.61e-02    1.59e-02    1.7e-05
  43700      6.35e-02    6.11e-02      5.58e-04    1.60e-04      1.51e-02    1.46e-02    1.7e-05
  43800      7.24e-02    6.77e-02      1.88e-04    4.36e-04      1.73e-02    1.62e-02    1.7e-05
  43900      6.94e-02    5.97e-02      1.12e-03    5.99e-04      1.64e-02    1.42e-02    1.7e-05
  44000      6.42e-02    5.10e-02      2.58e-04    5.81e-04      1.53e-02    1.21e-02    1.7e-05
  44100      6.54e-02    6.08e-02      1.80e-03    1.73e-03      1.52e-02    1.42e-02    1.7e-05
  44200      7.59e-02    7.84e-02      1.47e-03    6.71e-04      1.79e-02    1.87e-02    1.7e-05
  44300      6.38e-02    5.49e-02      2.66e-04    9.49e-05      1.52e-02    1.31e-02    1.7e-05
  44400      6.00e-02    6.47e-02      1.62e-03    1.57e-03      1.40e-02    1.52e-02    1.7e-05
  44500      6.34e-02    5.82e-02      1.16e-03    7.16e-04      1.50e-02    1.38e-02    1.7e-05
  44600      6.64e-02    5.75e-02      6.91e-04    5.23e-04      1.58e-02    1.37e-02    1.7e-05
  44700      6.36e-02    6.39e-02      1.94e-03    1.58e-03      1.47e-02    1.50e-02    1.7e-05
  44800      6.64e-02    6.66e-02      4.31e-04    8.22e-04      1.58e-02    1.58e-02    1.7e-05
  44900      6.74e-02    4.28e-02      6.51e-04    1.40e-04      1.60e-02    1.02e-02    1.7e-05
  45000      5.15e-02    5.62e-02      1.55e-04    4.45e-04      1.56e-02    1.70e-02    9.9e-06
  45100      5.65e-02    5.44e-02      7.17e-04    5.25e-04      1.70e-02    1.65e-02    9.9e-06
  45200      5.60e-02    5.90e-02      2.32e-04    1.57e-04      1.70e-02    1.79e-02    9.9e-06
  45300      5.29e-02    5.28e-02      3.25e-04    8.01e-04      1.60e-02    1.59e-02    9.9e-06
  45400      5.44e-02    5.69e-02      8.98e-05    3.28e-04      1.65e-02    1.72e-02    9.9e-06
  45500      5.89e-02    5.37e-02      7.05e-04    1.31e-04      1.77e-02    1.63e-02    9.9e-06
  45600      5.06e-02    5.20e-02      1.76e-04    1.89e-04      1.53e-02    1.58e-02    9.9e-06
  45700      5.27e-02    6.53e-02      4.26e-04    1.70e-04      1.59e-02    1.98e-02    9.9e-06
  45800      5.02e-02    4.32e-02      8.82e-04    8.91e-04      1.51e-02    1.29e-02    9.9e-06
  45900      5.22e-02    5.06e-02      9.27e-04    1.31e-03      1.57e-02    1.50e-02    9.9e-06
  46000      4.89e-02    5.67e-02      2.17e-04    2.74e-05      1.48e-02    1.72e-02    9.9e-06
  46100      5.25e-02    5.70e-02      2.60e-04    1.25e-04      1.59e-02    1.73e-02    9.9e-06
  46200      5.18e-02    5.46e-02      1.99e-04    4.35e-04      1.57e-02    1.65e-02    9.9e-06
  46300      5.11e-02    5.17e-02      4.21e-04    2.87e-04      1.55e-02    1.57e-02    9.9e-06
  46400      5.46e-02    4.44e-02      1.31e-04    2.58e-04      1.65e-02    1.34e-02    9.9e-06
  46500      5.48e-02    4.49e-02      3.75e-04    2.42e-04      1.66e-02    1.36e-02    9.9e-06
  46600      5.04e-02    5.04e-02      1.18e-04    9.93e-06      1.53e-02    1.53e-02    9.9e-06
  46700      5.50e-02    5.35e-02      6.70e-04    4.40e-04      1.66e-02    1.62e-02    9.9e-06
  46800      4.81e-02    5.18e-02      5.40e-04    3.24e-04      1.45e-02    1.57e-02    9.9e-06
  46900      4.96e-02    4.93e-02      5.05e-04    2.76e-04      1.50e-02    1.49e-02    9.9e-06
  47000      5.50e-02    5.40e-02      3.85e-04    1.03e-04      1.66e-02    1.64e-02    9.9e-06
  47100      5.06e-02    4.52e-02      3.14e-04    6.60e-05      1.53e-02    1.37e-02    9.9e-06
  47200      5.47e-02    5.10e-02      3.71e-04    5.66e-05      1.65e-02    1.54e-02    9.9e-06
  47300      5.29e-02    4.91e-02      1.24e-03    8.58e-04      1.57e-02    1.47e-02    9.9e-06
  47400      5.78e-02    4.34e-02      8.00e-04    9.79e-04      1.74e-02    1.30e-02    9.9e-06
  47500      5.05e-02    5.35e-02      5.37e-04    2.26e-05      1.52e-02    1.62e-02    9.9e-06
  47600      4.94e-02    4.83e-02      7.55e-04    7.81e-04      1.49e-02    1.45e-02    9.9e-06
  47700      5.34e-02    5.25e-02      9.53e-04    3.18e-04      1.60e-02    1.59e-02    9.9e-06
  47800      5.46e-02    6.95e-02      4.63e-04    1.30e-05      1.65e-02    2.11e-02    9.9e-06
  47900      5.21e-02    3.78e-02      6.07e-04    5.39e-04      1.57e-02    1.14e-02    9.9e-06
  48000      5.32e-02    4.17e-02      3.36e-04    2.42e-04      1.61e-02    1.26e-02    9.9e-06
  48100      5.26e-02    5.04e-02      7.60e-04    7.67e-04      1.58e-02    1.52e-02    9.9e-06
  48200      5.35e-02    5.36e-02      1.53e-04    4.80e-06      1.62e-02    1.63e-02    9.9e-06
  48300      5.27e-02    6.94e-02      1.22e-03    9.98e-04      1.57e-02    2.09e-02    9.9e-06
  48400      5.08e-02    6.10e-02      3.70e-04    5.75e-04      1.54e-02    1.84e-02    9.9e-06
  48500      5.11e-02    5.84e-02      4.92e-04    3.74e-04      1.54e-02    1.77e-02    9.9e-06
  48600      5.18e-02    4.68e-02      1.34e-04    8.05e-04      1.57e-02    1.41e-02    9.9e-06
  48700      5.09e-02    5.54e-02      3.74e-04    5.13e-04      1.54e-02    1.67e-02    9.9e-06
  48800      5.61e-02    5.42e-02      2.44e-04    3.87e-04      1.70e-02    1.64e-02    9.9e-06
  48900      4.96e-02    4.60e-02      5.28e-04    7.21e-04      1.50e-02    1.38e-02    9.9e-06
  49000      4.81e-02    4.73e-02      4.04e-04    1.64e-04      1.45e-02    1.43e-02    9.9e-06
  49100      5.52e-02    5.99e-02      3.35e-04    1.15e-04      1.67e-02    1.81e-02    9.9e-06
  49200      5.31e-02    4.89e-02      3.56e-04    2.89e-04      1.61e-02    1.48e-02    9.9e-06
  49300      5.25e-02    6.72e-02      2.11e-04    7.31e-04      1.59e-02    2.03e-02    9.9e-06
  49400      5.33e-02    5.23e-02      4.37e-04    2.17e-04      1.61e-02    1.58e-02    9.9e-06
  49500      5.62e-02    5.12e-02      4.57e-04    6.72e-04      1.70e-02    1.54e-02    9.9e-06
  49600      5.37e-02    3.83e-02      1.97e-04    3.83e-04      1.63e-02    1.16e-02    9.9e-06
  49700      4.95e-02    5.17e-02      1.65e-03    1.14e-03      1.45e-02    1.54e-02    9.9e-06
  49800      4.76e-02    5.99e-02      1.75e-04    2.25e-05      1.44e-02    1.82e-02    9.9e-06
  49900      5.21e-02    5.83e-02      2.20e-04    6.30e-04      1.58e-02    1.76e-02    9.9e-06
  50000      4.55e-02    9.04e-02      3.97e-05    5.55e-04      1.73e-02    3.43e-02    5.9e-06
  50100      3.90e-02    3.56e-02      3.26e-04    3.37e-04      1.48e-02    1.35e-02    5.9e-06
  50200      4.25e-02    4.06e-02      9.25e-04    5.17e-04      1.59e-02    1.53e-02    5.9e-06
  50300      4.41e-02    4.11e-02      3.56e-04    6.25e-04      1.67e-02    1.55e-02    5.9e-06
  50400      4.13e-02    3.37e-02      8.88e-04    1.06e-03      1.54e-02    1.24e-02    5.9e-06
  50500      4.40e-02    5.23e-02      2.06e-04    2.93e-04      1.67e-02    1.99e-02    5.9e-06
  50600      4.05e-02    3.17e-02      1.32e-03    9.25e-04      1.49e-02    1.17e-02    5.9e-06
  50700      4.34e-02    4.12e-02      1.41e-04    1.52e-04      1.65e-02    1.57e-02    5.9e-06
  50800      4.03e-02    5.27e-02      1.79e-04    2.94e-05      1.53e-02    2.00e-02    5.9e-06
  50900      4.33e-02    3.57e-02      3.00e-04    3.84e-04      1.64e-02    1.35e-02    5.9e-06
  51000      4.14e-02    2.28e-02      4.41e-04    3.91e-04      1.57e-02    8.59e-03    5.9e-06
  51100      4.06e-02    4.41e-02      2.98e-04    3.55e-04      1.54e-02    1.67e-02    5.9e-06
  51200      4.27e-02    4.25e-02      1.03e-03    5.79e-04      1.59e-02    1.61e-02    5.9e-06
  51300      4.26e-02    4.70e-02      3.23e-04    6.93e-04      1.61e-02    1.77e-02    5.9e-06
  51400      3.90e-02    3.56e-02      2.57e-04    6.58e-05      1.48e-02    1.35e-02    5.9e-06
  51500      3.90e-02    4.11e-02      6.21e-04    2.32e-05      1.47e-02    1.56e-02    5.9e-06
  51600      4.36e-02    3.76e-02      1.77e-04    2.72e-04      1.66e-02    1.43e-02    5.9e-06
  51700      3.81e-02    3.84e-02      1.41e-04    4.17e-04      1.45e-02    1.46e-02    5.9e-06
  51800      4.74e-02    3.43e-02      2.48e-04    1.41e-04      1.80e-02    1.30e-02    5.9e-06
  51900      4.14e-02    4.01e-02      4.13e-04    2.14e-04      1.57e-02    1.52e-02    5.9e-06
  52000      4.35e-02    4.25e-02      3.24e-04    1.50e-04      1.65e-02    1.62e-02    5.9e-06
  52100      3.86e-02    3.98e-02      7.19e-04    1.01e-03      1.45e-02    1.48e-02    5.9e-06
